CO_IES,Instituicao,CO_CATEGAD,CO_CURSO,NO_CURSO,Municipio,UF,TP_SEXO,NU_IDADE,QE_I01,QE_I02,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,NT_GER
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,30,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,32,A,D,B,D,B,C,A,C,E,E,A,A,A,A,A,A,B,C,B,B,B,E,E,G,39.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,D,D,C,B,E,A,B,A,C,A,A,A,C,A,A,A,A,B,B,C,E,H,C,40.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,21,A,D,C,F,B,D,A,B,A,C,A,A,A,E,A,A,B,G,A,B,B,E,H,G,35.7
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,20,A,A,D,D,B,C,A,C,A,E,A,A,A,A,B,A,B,C,A,C,C,E,E,C,47.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,A,D,D,B,C,A,B,A,C,A,A,A,D,B,A,B,C,B,B,B,E,A,H,48.1
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,F,22,A,B,D,C,B,H,B,B,A,C,A,A,A,C,A,A,B,C,A,B,B,E,E,F,35.2
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,23,,,,,,,,,,,,,,,,,,,,,,,,,
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,22,A,A,D,E,B,C,A,A,A,C,A,A,A,D,A,A,B,A,A,E,B,E,A,C,42.8
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,21,A,D,D,B,B,C,A,B,A,C,A,A,A,C,A,A,B,A,B,B,B,A,A,I,48.9
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,21,A,D,D,C,B,D,B,A,A,C,A,A,A,D,A,B,B,A,A,C,D,E,A,A,50.3
4865,FACULDADE PITÁGORAS DE SÃO LUIZ,4,107920,CIÊNCIA DA COMPUTAÇÃO,São Luís,MA,M,32,,,,,,,,,,,,,,,,,,,,,,,,,40.6
